Name,Score,Health,Time,Exp,Level,Distance,Map
benny,6,30,Mon May 17 18:23:27 2021,1297,10.3409627642517,382,0
benny,0,0,Mon May 17 18:24:28 2021,1323,10.369597346278676,181,0
benny,3,60,Mon May 17 18:24:56 2021,1323,10.369597346278676,215,0
benny,15,0,Mon May 17 18:26:03 2021,1334,10.381542951184588,509,0
benny,10,0,Mon May 17 18:26:46 2021,1370,10.41996017784789,435,0
benny,38,60,Mon May 17 18:27:44 2021,1408,10.459431618637298,1544,0
benny,64,30,Mon May 17 18:29:29 2021,2048,11.000000000000002,3192,0
benny,0,60,Mon May 17 18:29:54 2021,2048,11.000000000000002,202,0
BENNY,0,0,Mon May 17 18:35:26 2021,2067,11.013322673425447,164,0
BENNY_MAK,15,0,Mon May 17 18:36:21 2021,2239,11.128638812852598,1010,0
,98,0,Mon May 17 18:45:41 2021,3242,11.66266837551754,3472,0
,88,30,Mon May 17 18:47:43 2021,4122,12.009128789539258,3771,0
,28,0,Mon May 17 18:49:48 2021,4427,12.112113658097869,815,0
,0,0,Mon May 17 18:57:32 2021,4428,12.112439506781552,320,0
,44,0,Mon May 17 18:59:05 2021,4883,12.253552062637462,1526,0
leo,48,0,Mon May 17 19:00:20 2021,5365,12.389362455643884,1817,0
newstart124,14,0,Mon May 17 19:01:49 2021,5522,12.43097517258807,545,0
,147,60,Mon May 17 19:06:41 2021,6992,12.7714894695006,5460,0
,114,0,Mon May 17 19:09:20 2021,8138,12.99045856507371,4233,0
benny,29,0,Mon May 17 19:10:13 2021,8433,13.0418302391015,1015,0
benny,24,60,Mon Jun  7 10:53:31 2021,8457,13.04593026329158,937,0
benny,2,0,Mon Jun  7 10:53:49 2021,8485,13.050698944430028,264,0
be,69,0,Mon Jun  7 10:55:47 2021,1048,10.03342300153745,2381,0
dwa,0,0,Mon Jun  7 10:59:36 2021,243,7.92481250360578,137,2
hies,24,30,Mon Jun  7 11:00:24 2021,24,4.584962500721157,1139,2
